name,group,desc,url,start,end,location,email,,,,,,,
Grill Or Chill - Startup 2016-6,Grill Or Chill,null,null,"2016 Jun 24, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-7,Grill Or Chill,null,null,"2016 Jul 29, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-8,Grill Or Chill,null,null,"2016 Aug 26, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-9,Grill Or Chill,null,null,"2016 Sep 30, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-10,Grill Or Chill,null,null,"2016 Oct 28, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-11,Grill Or Chill,null,null,"2016 Nov 25, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2016-12,Grill Or Chill,null,null,"2016 Dec 30, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-1,Grill Or Chill,null,null,"2017 Jan 20, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-2,Grill Or Chill,null,null,"2017 Feb 24, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-3,Grill Or Chill,null,null,"2017 Mar 31, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-4,Grill Or Chill,null,null,"2017 Apr 28, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-5,Grill Or Chill,null,null,"2017 May 26, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-6,Grill Or Chill,null,null,"2017 Jun 16, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-7,Grill Or Chill,null,null,"2017 Jul 28, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-8,Grill Or Chill,null,null,"2017 Aug 25, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-9,Grill Or Chill,null,null,"2017 Sep 29, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-10,Grill Or Chill,null,null,"2017 Oct 27, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-11,Grill Or Chill,null,null,"2017 Nov 24, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2017-12,Grill Or Chill,null,null,"2017 Dec 22, 24:00 AM +08:00",-,null,null,,,,,,,
Grill Or Chill - Startup 2018-1,Grill Or Chill,null,null,"2018 Jan 26, 24:00 AM +08:00",-,null,null,,,,,,,
Grill or Chill JANUARY #SE ,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This month's theme is Social Enterprise. A social enterprise is a profit-making business set up catered to social and/or environmental need. The objective of this enterprise is to give back to the society, while profits earned are to reinvest for the particular purpose. Event Schedule:6.00pm : Registration 6.30pm : GRILLing or CHILLing session7.30pm : Networking SessionHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersInterested to pitch in the next Grill or Chill? Apply here: https://goo.gl/forms/OP3B700YLtCMxbYJ2",null,"2018 Jan 26, 18:30 PM +08:00","2018 Jan 26, 19:30 PM +08:00","Malaysian Global Innovation & Creativity Centre, Block 3730, Persiaran APEC,63000 Cyberjaya, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill Or Chill - Startup 2018-2,Grill Or Chill,null,null,"2018 Feb 23, 24:00 AM +08:00",-,null,null,,,,,,,
Grill or Chill #SmartCities,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This months theme is Smart Cities.A new idea and a new mode of promoting smart city planning, construction, management, and services. Using the internet of things, cloud computing, big data and spatial geographic information integrationEvent Schedule:6.00pm : Registration 6.30pm : GRILLing or CHILLing session7.30pm : Networking SessionHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersInterested to pitch in the next Grill or Chill? Apply here: https://goo.gl/forms/OP3B700YLtCMxbYJ2",null,"2018 Feb 23, 18:30 PM +08:00","2018 Feb 23, 19:30 PM +08:00","Malaysian Global Innovation & Creativity Centre, Block 3730, Persiaran APEC,63000 Cyberjaya, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Agrotech,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This months theme is Agriculture Technology. Modern farms and agricultural operations work far differently than those a few decades ago, primarily because of advancements in technology, including sensors, devices, machines, and information technology.Event Schedule:5.00pm : Registration 5.30pm : GRILLing or CHILLing session6.30pm : Networking SessionHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersInterested to pitch in the next Grill or Chill? Apply here: https://goo.gl/forms/OP3B700YLtCMxbYJ2",null,"2018 Mar 30, 18:30 PM +08:00","2018 Mar 30, 19:30 PM +08:00","Malaysian Global Innovation & Creativity Centre, Block 3730, Persiaran APEC,63000 Cyberjaya, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Mobility,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This months theme is Mobility. Will technological advances and shifts in social attitudes lead to our no longer owning or driving vehicles? The global auto industry's transformation has far-reaching implications for how we move from point A to point B and, in turn, affects carmakers, energy companies, insurers, healthcare, government funding, and more. Value shifts as a new ecosystem of mobility emerge.Event Schedule:5.00pm : Registration 5.30pm : GRILLing or CHILLing session6.30pm : Networking SessionHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersInterested to pitch in the next Grill or Chill? Apply here: https://goo.gl/forms/OP3B700YLtCMxbYJ2",null,"2018 Apr 27, 17:30 PM +08:00","2018 Apr 27, 18:30 PM +08:00","Malaysian Global Innovation & Creativity Centre, Block 3730, Persiaran APEC,63000 Cyberjaya, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Digital Health,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This months theme is Digital Health.Health care and the life sciences are currently entering a wave of innovation thanks to disruptive, computer-based technologies. Paradoxically, the evolution of machine learning, which raises the threshold of intelligent analysis beyond that of the human brain, can teach us more about what it means to be human.Event Schedule:10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : K-Startup Grand Challenge 201812.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersStartups1.BeacoHealth2.Nutrionology 3.Vita 4.ClicknCare 5.Everleaf 6.PrimaNexusGrillers:1.Dr. Feisul Idzwan Mustapha, Consultant Public Health Physicianand Deputy Director (NCD)Non-Communicable Disease SectionDisease Control DivisionMinistry of Health, Malaysia2.Anupam Chatterjee, Founder and CEO of CEMPIA, TheDecisionLabs.",null,"2018 May 25, 10:30 AM +08:00","2018 May 25, 11:30 AM +08:00","Malaysian Global Innovation & Creativity Centre, Block 3730, Persiaran APEC,63000 Cyberjaya, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #CleanEnergy,Grill Or Chill,Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This months theme is CleanEnergy. New technologies for storing power from wind and solar farms will be key to a clean-energy future.Event Schedule:10.00am : Registration 10.30am : Sharing session about ASEAN Rice Bowl Startup Awards 10.45am: GRILLing or CHILLing session11.45am: Sharing by TNB Energy Services & Concord Group12.00pm : Networking Session12.30pm : End How does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersSharing session 1 : Be the first to know more about ASEAN Rice Bowl Startup Awards.Sharing session 2 : Be the first to know more about energy experts TNB Energy Service & Concord GroupSee you there!  ,null,"2018 Jun 29, 10:00 AM +08:00","2018 Jun 29, 12:30 PM +08:00","Malaysian Global Innovation & Creativity Centre, Block 3730, Persiaran APEC,63000 Cyberjaya, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Women ,Grill Or Chill,"Grill or Chill (GoC) is a monthly pitching platform for startups to showcase their products and services to get valuable feedback from industry experts within the entrepreneurship ecosystem. Participants of GoC will get to network with fellow entrepreneurs as well as industry partners in a casual setting at the end of each session.Women Empowerment has become a buzzword in 2018, emphasizing the dynamic combination of women and men working alongside to enrich the ecosystem. Grill or Chill #Women in Innovation edition aims to highlight women entrepreneurs, whilst sharing the impact created through the creativity and innovation contributed. This is also to encourage more women to come forth and contribute towards the development of the economy.In Partnership and Sponsored by Girls in Tech MalaysiaGirls in Tech (GIT) is a global non-profit focused on the engagement, education and empowerment of girls and women who are passionate about technology. Adriana Gascoigne founded GIT in 2007 to create a support framework to help women advance their careers in STEM fields. Today, GIT aims to accelerate the growth of innovative women entering into the high-tech industry and building start-ups. We achieve this through the creation of proprietary, innovative programming and strategic global partnerships.GIT is now in 60 locations worldwide and GIT Malaysia is led by our Managing Director, Nadira Yusoff and supported by various full-time professionals as volunteers and board members.You are welcome to visit our website at malaysia.girlsintech.org for further information. We are also on Facebook, Instagram, LinkedIn and Twitter with the profile name ""Girls in Tech Malaysia"" or otherwise ""gitmalaysia"".Venue Host:Liberal LattAddress:2, Lorong Dungun Kiri, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala LumpurStartups1.PinkCollar2.YDJ3.Active604.Camdy5.KiddoCareGrillers1.Fadilah Nizar - Founder and President, Johor Empowerment of Intellectual Women Associati (JEIWA),                                      CEO, JEIWA Global Resources2.Elain Lockman - Co-Founder & Director, Ata Plus3.Renuka Sena - CEO, Proficeo Event Schedule10.00am : Registration10.30am : GRILLing or CHILLing session11.30am : Sharing Session by Grillers12.00pm: Networking SessionHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillers",null,"2018 Jul 27, 10:00 AM +08:00","2018 Jul 27, 12:30 PM +08:00","Liberal Latté, Lorong Dungun Kiri, Bukit Damansara, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #VR/AR,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. Welcome to Virtual Reality /Augmented Reality (VR/AR) monthAugmented reality enhances our experience, making it more meaningful through our ability to interact with computer-generated enhancements layered over our reality. Simply put, computer generated graphics are used to augment your environment. Picture your wall turning into a big computer-generated screen or your coffee table turning into a monopoly board. In this way, the technology uses your real-life environment as its platform and builds on top of it.Virtual reality is an artificial environment that is created with software and presented to the user in such a way that the user suspends belief and accepts it as a real environment. On a computer, virtual reality is primarily experienced through two of the five senses: sight and sound.In Partnership with Malaysia Digital Economy Corporation Sdn. Bhd. (MDEC)Malaysia Digital Economy Corporation Sdn. Bhd. (MDEC) is the holistic, government-owned agency launched in 1996 to pioneer the transformation of Malaysias digital economy. Its roots stemmed from Vision 2020, the plan to develop Malaysia into a fully-developed nation by 2020.MDEC pursues a digital future that unlocks significant economic, environmental, and social value within the nation. MDEC was entrusted to oversee the development of the MSC Malaysia initiative, the platform to nurture the growth of local tech companies whilst attracting foreign direct investments (FDIs) and domestic direct investments (DDIs) from global multinational companies. The impact of this includes increasing Malaysias Gross National Index, bridging the income gap and improving standards of living.The Co. is a premium work experience that uniquely weaves life and business together through an inspired sense of adventure and purpose. Everything we do orientates you towards a successful business adventure. Whether it is connecting you to the best of the neighbourhood, making sure you are in good company or providing quality, design focused facilities, we are committed to your world working well so that you can get get on with your walk.VR/AR10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : Sharing session by Grillers12.00pm : Networking session12.30pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersStartups1.EasyTech2.EEE Lab3.RevoVR4.TBA Studios5.AviaSenseGrillers:1.James Digby2.Datin Shireen Tan3.Denis Oakley",null,"2018 Aug 24, 10:00 AM +08:00","2018 Aug 24, 12:30 PM +08:00","The Co. Bangsar, 8, Lengkok Abdullah, Bangsar Park, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #IR4.0,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. Are you ready for Industry 4.0?Industry 4.0 fosters what has been called a ""smart factory"". Within modular structured smart factories, cyber-physical systems monitor physical processes, create a virtual copy of the physical world and make decentralised decisions. Over the Internet of Things, cyber-physical systems communicate and cooperate with each other and with humans in real-time both internally and across organisational services offered and used by participants of the value chain.Calling all ideas from Internet of things , artificial intelligence , smart city , renewable energy , automation, big data to join Grill or Chill #IR4.0. Event Schedule:10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : Sharing session by Grillers 12.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersStartups1.Ekebun2.Doltech3.Wyse Time4.DigVexomGrillers:1.Dr. Muhammad Imran Sarwar, Industry 4.0 and IoT solution architect, R&D scientist and technical lead for software engineering and certified Trainer2. Mr. Yeoh Shih HoongResearch & Development Director, ViTrox",null,"2018 Sep 28, 10:00 AM +08:00","2018 Sep 28, 12:30 PM +08:00","16, Gat Lebuh China, George Town, 10300 George Town, Pulau Pinang, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Blockchain,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. October theme is Blockchain. Blockchain is resistant to modification of the data. It is an open,distributed ledgerthat can record transactions between two parties efficiently and in a verifiable and permanent way.For use as a distributedledger, a blockchain is typically managed by apeer-to-peernetwork collectively adhering to aprotocolfor inter-node communication and validating new blocks.Event Schedule:10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : Sharing Session by Grillers12.00pm :  Networking Session12.30pm : End *Live telecast via FbHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersStartups:1.Blockchain Technology Malaysia2.Bloqverse3.EPC Blockchain4.Musicoin5.Petect6.WakafulInterested to pitch in the next Grill or Chill? Apply here: https://goo.gl/forms/OP3B700YLtCMxbYJ2",null,"2018 Oct 26, 10:00 AM +08:00","2018 Oct 26, 12:30 PM +08:00","Glo Damansara Shopping Mall, Lot 1.02 Level 1, Jalan Damansara, 60000 Kuala Lumpur",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #FutureTech,Grill Or Chill,Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. Event Schedule:10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : Sharing Session by Grillers12.00pm :  Networking Session12.30pm : End *Live telecast via FbHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersInterested to pitch in the next Grill or Chill? Apply here: https://goo.gl/forms/OP3B700YLtCMxbYJ2,null,"2018 Nov 28, 10:00 AM +08:00","2018 Nov 28, 12:30 PM +08:00","PAPER + TOAST, Level 13A, Fahrenheit Office Tower, Jalan Gading, Bukit Bintang, 55100, Kuala Lumpur, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or chill #TravelTech,Grill Or Chill,"Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. This months theme is Digital Health.Health care and the life sciences are currently entering a wave of innovation thanks to disruptive, computer-based technologies. Paradoxically, the evolution of machine learning, which raises the threshold of intelligent analysis beyond that of the human brain, can teach us more about what it means to be human.Event Schedule:10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : K-Startup Grand Challenge 201812.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersStartups1.BeeFi2.Byloka3.Gununghub4.Thecamparound.5.Trippal6.VACAZEE Grillers:",null,"2018 Dec 21, 10:00 AM +08:00","2018 Dec 21, 12:30 PM +08:00","3730, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #ECommerce ,Grill Or Chill,Grill or Chill (GoC)  is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment. Event Schedule:10.00am : Registration 10.30am : GRILLing or CHILLing session11.30am : K-Startup Grand Challenge 201812.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillersStartupsGrillers:,null,"2019 Jan 25, 10:00 AM +08:00","2019 Jan 25, 12:30 PM +08:00","3730, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",amirul.izzat@mymagic.my,,,,,,,
Grill or Chill #Halal Innovation,Grill Or Chill,"Grill or Chill (GoC) is a platform for startups to showcase their product and get valuable feedback from experts in the startup ecosystem. Each GoC ends with a networking session where you can mingle and connect with other entrepreneurs in a cozy environment.This months theme is Halal Innovation.The global halal industry is estimated to be worth around USD2.3 trillion (excluding Islamic finance). Growing at anestimated annual rate of 20%, the industry is valued at about USD560 billion a year. Thus, making it one of thefastest growing consumer segments in the world.The halal industry has now expanded beyond the food sector to include pharmaceuticals, cosmetics, health products, toiletries and medical devices as well as service sector components such as logistics, marketing, print and electronic media, packaging, branding, and financing.Calling startups that has halal innovation ideas to drive halal industry, interested to pitch ?Please apply here :https://goo.gl/forms/OP3B700YLtCMxbYJ2Event Schedule:10.00am : Registration10.30am : GRILLing or CHILLing session11.30am : Sharing session by Grillers12.00pm : EndHow does it work?Each startup to be grilled are given 10 minutes:5 minutes - Startup to showcase their product5 minutes - Startup to be grilled by grillers",null,"2019 Mar 08, 10:00 AM +08:00","2019 Mar 08, 12:30 PM +08:00","3730, Persiaran Apec, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",amirul.izzat@mymagic.my,,,,,,,
